"Year"	"Ntot"	"pN1"	"pNadf"	"pNadm"	"Area"	"nY"	"nAdf"	"nAdm"	"pRLN"	"nPrRLN"
"202012"	2020	55	NA	NA	NA	"Svartebotnen"	4	0	3	"0.714"	5
"202112"	2021	55	NA	NA	NA	"Svartebotnen"	2	0	1	"0.75"	3
"161713"	2017	2900	NA	NA	NA	"Reinheimen-Breheimen"	0	0	3	"0"	0
"201813"	2018	2900	NA	NA	NA	"Reinheimen-Breheimen"	182	168	162	"0.783"	405
"201913"	2019	2900	NA	NA	NA	"Reinheimen-Breheimen"	246	94	94	"0.674"	293
"202013"	2020	2900	NA	NA	NA	"Reinheimen-Breheimen"	125	67	110	"0.672"	203
"202113"	2021	2900	NA	NA	NA	"Reinheimen-Breheimen"	166	158	145	"0.696"	327
"161714"	2017	3468	"0.179"	"0.479"	"0.341"	"Snøhetta"	2	6	3	"0.167"	2
"201814"	2018	3548	"0.217"	"0.472"	"0.31"	"Snøhetta"	136	165	102	"0.739"	300
"201914"	2019	3641	"0.216"	"0.468"	"0.316"	"Snøhetta"	174	116	72	"0.681"	248
"202014"	2020	3840	"0.202"	"0.456"	"0.342"	"Snøhetta"	130	191	107	"0.585"	252
"202114"	2021	3840	"0.202"	"0.456"	"0.342"	"Snøhetta"	64	183	114	"0.56"	205
"161715"	2017	3783	"0.128"	"0.567"	"0.306"	"Rondane"	91	9	7	"0.598"	67
"201815"	2018	4058	"0.205"	"0.518"	"0.277"	"Rondane"	103	51	58	"0.74"	159
"201915"	2019	3902	"0.201"	"0.516"	"0.283"	"Rondane"	133	46	49	"0.711"	162
"202015"	2020	4028	"0.105"	"0.567"	"0.328"	"Rondane"	141	57	63	"0.536"	141
"202115"	2021	4028	"0.105"	"0.567"	"0.328"	"Rondane"	49	62	68	"0.625"	115
"161716"	2017	800	NA	NA	NA	"Sølnkletten"	7	0	3	"0.1"	1
"201816"	2018	800	NA	NA	NA	"Sølnkletten"	56	26	18	"0.782"	79
"201916"	2019	800	NA	NA	NA	"Sølnkletten"	55	15	14	"0.726"	61
"202016"	2020	800	NA	NA	NA	"Sølnkletten"	23	1	18	"0.651"	28
"202116"	2021	800	NA	NA	NA	"Sølnkletten"	21	9	44	"0.743"	55
"161717"	2017	2000	NA	NA	NA	"Tolga Østfjell"	0	0	1	"0"	0
"201817"	2018	2000	NA	NA	NA	"Tolga Østfjell"	2	0	17	"0.895"	17
"201917"	2019	2000	NA	NA	NA	"Tolga Østfjell"	0	0	6	"0.833"	5
"202017"	2020	2000	NA	NA	NA	"Tolga Østfjell"	1	0	14	"0.533"	8
"202117"	2021	2000	NA	NA	NA	"Tolga Østfjell"	2	1	24	"0.815"	22
"161718"	2017	1855	"0.189"	"0.505"	"0.306"	"Forollhogna"	188	100	54	"0.017"	6
"201818"	2018	1693	"0.159"	"0.507"	"0.334"	"Forollhogna"	45	30	18	"0.821"	78
"201918"	2019	1534	"0.203"	"0.446"	"0.351"	"Forollhogna"	43	19	14	"0.566"	43
"202018"	2020	1696	"0.204"	"0.452"	"0.344"	"Forollhogna"	40	28	40	"0.676"	73
"202118"	2021	1696	"0.204"	"0.452"	"0.344"	"Forollhogna"	78	44	55	"0.571"	101
"161719"	2017	1500	NA	NA	NA	"Knutshø"	67	6	4	"0.039"	3
"201819"	2018	1500	NA	NA	NA	"Knutshø"	33	18	29	"0.7"	56
"201919"	2019	1500	NA	NA	NA	"Knutshø"	36	25	32	"0.699"	65
"202019"	2020	1500	NA	NA	NA	"Knutshø"	77	36	55	"0.601"	101
"202119"	2021	1500	NA	NA	NA	"Knutshø"	24	37	42	"0.631"	65
"1"	2016	417	"0.194"	"0.444"	"0.362"	"Nordfjella zone 2"	6	15	19	"0.92"	37
"2"	2017	442	"0.17"	"0.482"	"0.348"	"Nordfjella zone 2"	5	19	20	"0.93"	41
"3"	2018	504	"0.243"	"0.442"	"0.315"	"Nordfjella zone 2"	13	32	77	"0.975"	119
"4"	2019	494	"0.251"	"0.48"	"0.269"	"Nordfjella zone 2"	17	20	68	"0.82"	86
"5"	2020	448	"0.216"	"0.525"	"0.259"	"Nordfjella zone 2"	11	39	34	"0.895"	77
"6"	2021	444	"0.218"	"0.55"	"0.232"	"Nordfjella zone 2"	5	13	13	"0.968"	30
